driver_name,nationality,year,grid,position,points,laps,milliseconds,fastestLapSpeed,statusId,finished,podium
Mark Webber,Australian,2010,1.0,3.0,15.0,58,5351905.0,215.447,1,1,1
Michael Schumacher,German,2010,5.0,4.0,12.0,58,5358730.0,213.971,1,1,0
Nico Rosberg,German,2010,6.0,5.0,10.0,58,5359886.0,213.574,1,1,0
Robert Kubica,Polish,2010,7.0,6.0,8.0,58,5360444.0,214.521,1,1,0
Felipe Massa,Brazilian,2010,8.0,7.0,6.0,58,5364255.0,213.529,1,1,0
Fernando Alonso,Spanish,2010,12.0,8.0,4.0,58,5374164.0,213.493,1,1,0
Adrian Sutil,German,2010,11.0,9.0,2.0,58,5376649.0,213.617,1,1,0
Kamui Kobayashi,Japanese,2010,10.0,10.0,1.0,58,5393270.0,211.426,1,1,0
Pedro de la Rosa,Spanish,2010,13.0,11.0,0.0,58,5393564.0,212.525,1,1,0
Jaime Alguersuari,Spanish,2010,16.0,12.0,0.0,58,5395420.0,214.628,1,1,0
Vitantonio Liuzzi,Italian,2010,18.0,13.0,0.0,57,,210.201,11,0,0
Rubens Barrichello,Brazilian,2010,15.0,14.0,0.0,57,,211.329,11,0,0
Vitaly Petrov,Russian,2010,9.0,15.0,0.0,57,,215.519,11,0,0
Sébastien Buemi,Swiss,2010,14.0,16.0,0.0,57,,214.501,11,0,0
Nico Hülkenberg,German,2010,17.0,17.0,0.0,57,,212.059,11,0,0
Timo Glock,German,2010,21.0,18.0,0.0,55,,208.278,13,0,0
Lucas di Grassi,Brazilian,2010,23.0,19.0,0.0,55,,206.062,13,0,0
Karun Chandhok,Indian,2010,24.0,20.0,0.0,52,,203.169,48,0,0
Lewis Hamilton,British,2010,1.0,1.0,25.0,70,5633456.0,201.778,1,1,1
Jenson Button,British,2010,4.0,2.0,18.0,70,5635710.0,200.906,1,1,1
Fernando Alonso,Spanish,2010,3.0,3.0,15.0,70,5642670.0,200.744,1,1,1
Sebastian Vettel,German,2010,2.0,4.0,12.0,70,5671273.0,200.206,1,1,0
Mark Webber,Australian,2010,7.0,5.0,10.0,70,5672747.0,200.895,1,1,0
Nico Rosberg,German,2010,10.0,6.0,8.0,70,5689540.0,201.711,1,1,0
Robert Kubica,Polish,2010,8.0,7.0,6.0,70,5690756.0,203.965,1,1,0
Sébastien Buemi,Swiss,2010,15.0,8.0,4.0,69,,196.776,11,0,0
Vitantonio Liuzzi,Italian,2010,5.0,9.0,2.0,69,,197.855,11,0,0
Adrian Sutil,German,2010,9.0,10.0,1.0,69,,197.404,11,0,0
Michael Schumacher,German,2010,13.0,11.0,0.0,69,,197.288,11,0,0
Jaime Alguersuari,Spanish,2010,16.0,12.0,0.0,69,,196.633,11,0,0
Nico Hülkenberg,German,2010,12.0,13.0,0.0,69,,198.95,11,0,0
Rubens Barrichello,Brazilian,2010,11.0,14.0,0.0,69,,198.289,11,0,0
Felipe Massa,Brazilian,2010,6.0,15.0,0.0,69,,200.441,11,0,0
Heikki Kovalainen,Finnish,2010,19.0,16.0,0.0,68,,194.653,12,0,0
Vitaly Petrov,Russian,2010,14.0,17.0,0.0,68,,197.596,12,0,0
Karun Chandhok,Indian,2010,24.0,18.0,0.0,66,,191.729,14,0,0
Lucas di Grassi,Brazilian,2010,23.0,19.0,0.0,65,,191.605,15,0,0
Sebastian Vettel,German,2010,1.0,1.0,25.0,57,6029571.0,196.774,1,1,1
Lewis Hamilton,British,2010,3.0,2.0,18.0,57,6034613.0,196.744,1,1,1
Jenson Button,British,2010,7.0,3.0,15.0,57,6042229.0,197.521,1,1,1
Rubens Barrichello,Brazilian,2010,9.0,4.0,12.0,57,6055198.0,196.085,1,1,0
Robert Kubica,Polish,2010,6.0,5.0,10.0,57,6056693.0,195.981,1,1,0
Adrian Sutil,German,2010,13.0,6.0,8.0,57,6059739.0,195.469,1,1,0
Kamui Kobayashi,Japanese,2010,18.0,7.0,6.0,57,6060536.0,196.03,1,1,0
